,Income,Purchase(Y/N)
0,59221.0,0
1,61823.0,1
2,60545.0,1
3,57752.0,0
4,53783.0,0
5,62283.0,1
6,62818.0,1
7,56215.0,0
8,64098.0,1
9,58925.0,0
10,66578.0,1
11,61505.0,1
12,59160.0,0
13,63094.0,1
14,60278.0,1
15,60323.0,1
16,60190.0,1
17,59612.0,1
18,61586.0,1
19,62027.0,1
20,60887.0,1
21,64531.0,1
22,56609.0,0
23,58841.0,0
24,62062.0,1
25,57059.0,0
26,63911.0,1
27,61782.0,1
28,59547.0,0
29,61335.0,1
30,58533.0,0
31,56295.0,0
32,62143.0,1
33,62358.0,1
34,60286.0,1
35,59945.0,1
36,54682.0,0
37,57914.0,0
38,58836.0,0
39,60584.0,1
40,63463.0,1
41,58701.0,0
42,58050.0,1
43,62389.0,1
44,59683.0,1
45,56578.0,0
46,63046.0,1
47,57856.0,0
48,58596.0,1
49,57416.0,0
50,60897.0,1
51,62684.0,1
52,59061.0,1
53,60991.0,1
54,58821.0,0
55,65842.0,1
56,63757.0,1
57,58511.0,0
58,61321.0,1
59,62350.0,1
60,61066.0,1
61,58105.0,0
62,59594.0,1
63,61817.0,1
64,61110.0,1
65,57858.0,0
66,61117.0,1
67,57463.0,0
68,54669.0,0
69,60435.0,1
70,62378.0,1
71,61105.0,1
72,63673.0,1
73,64374.0,1
74,60884.0,1
75,58392.0,1
76,59882.0,1
77,56377.0,0
78,59910.0,1
79,59773.0,0
80,60441.0,1
81,62737.0,1
82,54684.0,0
83,61879.0,1
84,58648.0,0
85,61983.0,1
86,60434.0,1
87,57411.0,0
88,62186.0,1
89,58151.0,0
90,61307.0,1
91,58520.0,0
92,58806.0,1
93,60281.0,1
94,64762.0,1
95,61735.0,1
96,59951.0,1
97,64157.0,1
98,60077.0,0
99,59256.0,0
